EmployeeID,EmployeeName,Age,Years_of_Experience,Department,Monthly_Salary,Income_Tax,PF_Contribution,Insurance_Deduction,Other_Deductions,Net_Salary,Rent_Expense,Grocery_Expense,EMI_or_Loan_Payment,Entertainment_Expense,Other_Expenses,Total_Expenditure,Savings_Amount,Investments,Class,Expense_Ratio,Savings_Ratio,Investment_Ratio,EMI_Ratio,Disposable_Income,Financial_Cushion,Debt_Burden_Index,Investment_to_Savings_Ratio,Financial_Health
EMP00001,Gaurav Akash Chauhan,29,2,Marketing,55811,1124,3349,744,1183,49411,0,4829,0,4310,2085,11224,16741,4953,High,0.2271558964603023,0.3388111958875554,0.1002408370605735,0.0,38187,1.49,0.0,0.296,2
EMP00002,Vivek Aman Nagpal,49,20,Cyber Security,152405,13814,9144,3436,1697,124314,0,21752,40587,4688,8564,75591,223,553,Low,0.6080650610550702,0.0017938446192705,0.0044484128899399,0.3264877648535161,48723,0.0,0.266,2.469,0
EMP00003,Amit Bhardwaj,40,9,Operations,67086,1709,4025,1366,1399,58587,0,8860,12984,1814,2721,26379,2980,1006,Low,0.4502534691996518,0.0508645262600918,0.0171710447710242,0.2216191305238363,32208,0.11,0.194,0.337,0
EMP00004,Avantika Arora,25,1,Operations,51199,893,3072,1148,1563,44523,8650,3968,4732,2982,2072,22404,12826,1598,Medium,0.5032005929519574,0.2880758259775846,0.0358915616647575,0.1062821463064034,22119,0.57,0.092,0.125,1
EMP00005,Reema Patel,30,6,Sales,51015,884,3061,1105,1294,44671,10748,7543,0,2268,2825,23384,9848,2595,Medium,0.5234716035011528,0.2204562243961406,0.0580913791945557,0.0,21287,0.42,0.0,0.263,1
EMP00006,Divya Bhatia,32,12,IT,108469,6270,6508,3239,1732,90720,0,12952,0,6869,5974,25795,28557,7232,High,0.2843364197530864,0.314781746031746,0.0797178130511463,0.0,64925,1.11,0.0,0.253,2
EMP00007,Prachi Mittal,29,4,Operations,57365,1202,3442,1184,1678,49859,0,7675,0,2535,2575,12785,16349,5107,High,0.2564231131791652,0.3279046912292665,0.1024288493551816,0.0,37074,1.28,0.0,0.312,2
EMP00008,Preeti Porwal,34,9,Finance,94087,4409,5645,1323,972,81738,21989,12751,0,13306,7283,55329,2922,2908,Low,0.6769067019011965,0.0357483667327314,0.035577087768235,0.0,26409,0.05,0.0,0.995,0
EMP00009,Divya Pradhan,53,28,Sales,85000,3500,5100,2026,1098,73276,24097,12152,0,7852,5540,49641,3566,3736,Medium,0.6774523718543589,0.0486653201593973,0.0509853157923467,0.0,23635,0.07,0.0,1.047,1
EMP00010,Rishabh Menon,50,17,HR,63587,1513,3815,2027,1522,54710,20636,10409,7034,7007,4550,49636,552,624,Low,0.9072564430634252,0.0100895631511606,0.011405593127399,0.1285688174008408,5074,0.01,0.111,1.128,0
EMP00011,Charu Shetty,46,19,Customer Support,58046,1236,3483,1101,1450,50776,11892,8111,6028,4125,2974,33130,6327,2273,Medium,0.6524736095793288,0.1246061131243106,0.0447652434220891,0.1187175043327556,17646,0.19,0.104,0.359,1
EMP00012,Lakshay Iyer,26,7,Operations,64778,1572,3887,1808,1519,55992,12805,7068,2046,3165,2331,27415,9698,11085,High,0.4896235176453779,0.1732033147592513,0.1979747106729532,0.0365409344192027,28577,0.35,0.032,1.143,2
EMP00013,Diya Vivek Kulkarni,22,3,Sales,47914,729,2875,1177,1313,41820,0,5417,0,3030,1755,10202,2584,435,Medium,0.2439502630320421,0.0617886178861788,0.0104017216642754,0.0,31618,0.25,0.0,0.168,1
EMP00014,Akash Roy,30,4,IT,86761,3676,5206,1934,1419,74526,17504,9033,8448,5693,4707,45385,10906,3541,Low,0.6089821002066393,0.1463381906985481,0.0475136194079918,0.1133564125271717,29141,0.24,0.097,0.325,0
EMP00015,Ishaan Narang,49,23,IT,138151,10964,8289,3392,1837,113669,32706,21185,11930,6391,7634,79846,16324,3336,Low,0.7024430583536408,0.1436099552208605,0.0293483711478063,0.1049538572521971,33823,0.2,0.086,0.204,0
