EmployeeID,EmployeeName,Age,Years_of_Experience,Department,Monthly_Salary,Income_Tax,PF_Contribution,Insurance_Deduction,Other_Deductions,Net_Salary,Rent_Expense,Grocery_Expense,EMI_or_Loan_Payment,Entertainment_Expense,Other_Expenses,Total_Expenditure,Savings_Amount,Investments,Class
EMP00001,Gaurav Akash Chauhan,29,2,Marketing,55811,1124,3349,744,1183,49411,0,4829,0,4310,2085,11224,16741,4953,High
EMP00002,Vivek Aman Nagpal,49,20,Cyber Security,152405,13814,9144,3436,1697,124314,0,21752,40587,4688,8564,75591,223,553,Low
EMP00003,Amit Bhardwaj,40,9,Operations,67086,1709,4025,1366,1399,58587,0,8860,12984,1814,2721,26379,2980,1006,Low
EMP00004,Avantika Arora,25,1,Operations,51199,893,3072,1148,1563,44523,8650,3968,4732,2982,2072,22404,12826,1598,Medium
EMP00005,Reema Patel,30,6,Sales,51015,884,3061,1105,1294,44671,10748,7543,0,2268,2825,23384,9848,2595,Medium
EMP00006,Divya Bhatia,32,12,IT,108469,6270,6508,3239,1732,90720,0,12952,0,6869,5974,25795,28557,7232,High
EMP00007,Prachi Mittal,29,4,Operations,57365,1202,3442,1184,1678,49859,0,7675,0,2535,2575,12785,16349,5107,High
EMP00008,Preeti Porwal,34,9,Finance,94087,4409,5645,1323,972,81738,21989,12751,0,13306,7283,55329,2922,2908,Low
EMP00009,Divya Pradhan,53,28,Sales,85000,3500,5100,2026,1098,73276,24097,12152,0,7852,5540,49641,3566,3736,Medium
EMP00010,Rishabh Menon,50,17,HR,63587,1513,3815,2027,1522,54710,20636,10409,7034,7007,4550,49636,552,624,Low
EMP00011,Charu Shetty,46,19,Customer Support,58046,1236,3483,1101,1450,50776,11892,8111,6028,4125,2974,33130,6327,2273,Medium
EMP00012,Lakshay Iyer,26,7,Operations,64778,1572,3887,1808,1519,55992,12805,7068,2046,3165,2331,27415,9698,11085,High
EMP00013,Diya Vivek Kulkarni,22,3,Sales,47914,729,2875,1177,1313,41820,0,5417,0,3030,1755,10202,2584,435,Medium
EMP00014,Akash Roy,30,4,IT,86761,3676,5206,1934,1419,74526,17504,9033,8448,5693,4707,45385,10906,3541,Low
EMP00015,Ishaan Narang,49,23,IT,138151,10964,8289,3392,1837,113669,32706,21185,11930,6391,7634,79846,16324,3336,Low
EMP00016,Avantika Dubey,37,10,Product Management,147355,12804,8841,3802,1794,120114,35040,19216,0,8235,6344,68835,24065,4701,Medium
EMP00017,Rishabh Jain,23,1,Finance,72860,2286,4372,1721,1756,62725,7362,6493,7744,5978,2900,30477,14219,3626,Medium
EMP00018,Aarav Das,38,8,Marketing,66738,1674,4004,2162,1824,57074,19090,8479,0,8220,5069,40858,2415,2342,Low
EMP00019,Preeti Bhardwaj,57,26,Data Science,170000,17500,10200,3365,2083,136852,0,23765,34911,10166,8006,76848,28145,7837,Low
EMP00020,Nandini Reema Khanna,40,16,Sales,68270,1827,4096,1430,1414,59503,0,9099,0,4386,2918,16403,19587,4689,Medium
EMP00021,Aarav Reddy,37,10,Sales,61985,1433,3719,1730,2003,53100,18395,10107,0,9909,5386,43797,1785,1293,Low
EMP00022,Monika Pillai,57,36,Operations,95000,4500,5700,1483,2250,81067,0,11706,22036,4202,3642,41586,17928,4755,Medium
EMP00023,Megha Menon,26,5,Finance,79066,2907,4744,1598,1402,68415,0,9499,22241,4846,3241,39827,13211,3146,Low
EMP00024,Arjun Rawat,36,12,HR,55687,1118,3341,1070,1184,48974,4722,7150,8163,2766,2384,25185,9494,2794,Medium
EMP00025,Rishabh More,43,27,Operations,91636,4164,5498,1967,1618,78389,12945,6399,0,4886,1933,26163,31059,3417,High
EMP00026,Muskan Saloni Suri,38,13,IT,108265,6240,6496,2421,1547,91561,0,12748,29409,2719,4077,48953,23874,4092,Medium
EMP00027,Pankaj Mukherjee,29,6,Operations,61157,1391,3669,1863,1640,52594,0,7193,13361,5511,3725,29790,8905,3208,Low
EMP00028,Tarun Seth,49,28,Marketing,90000,4000,5400,1485,1780,77335,0,11952,20330,9604,5261,47147,4285,4135,Low
EMP00029,Rajat Mehta,39,16,IT,120425,8064,7226,3752,1971,99412,20926,10391,5733,7831,5841,50722,13758,16431,Medium
EMP00030,Sumit Iyer,36,9,Marketing,70897,2090,4254,1389,1799,61365,17442,10841,7124,3695,3831,42933,6801,1798,Medium
EMP00031,Harsh Bohra,25,2,Marketing,50451,856,3027,993,1965,43610,0,5653,0,7691,2988,16332,5303,2315,Medium
EMP00032,Karan Banerjee,41,16,Product Management,179937,19984,10796,2662,2043,144452,37800,26145,22247,12439,7333,105964,14689,5142,Low
EMP00033,Ishaan Priya Pandey,32,8,IT,102743,5411,6165,2796,1324,87047,24874,15489,0,6307,6142,52812,14165,4103,Medium
EMP00034,Sanya Mittal,31,6,IT,97444,4744,5847,1649,1524,83680,23872,11834,0,10513,5852,52071,3594,5496,Low
EMP00035,Bhavna Maheshwari,58,22,Product Management,200618,25185,12037,3163,1660,158573,35984,24367,10070,7240,8421,86082,5029,972,Medium
EMP00036,Sumit Saini,57,23,HR,70000,2000,4200,2085,1974,59741,0,7341,11278,3551,2769,24939,1002,1489,Low
EMP00037,Shruti Sahu,53,25,IT,145034,12340,8702,3328,1724,118940,26797,20452,18038,7703,5689,78679,19132,5241,Medium
EMP00038,Aisha Chopra,46,18,Customer Support,52213,944,3133,874,1884,45378,0,8308,9314,3054,2325,23001,9684,2594,Medium
EMP00039,Rupal Solanki,51,32,Operations,95000,4500,5700,1244,1784,81772,0,14325,21701,3380,6704,46110,3118,716,Low
EMP00040,Siddharth Kapoor,31,11,Operations,72848,2285,4371,1838,1321,63033,0,8162,19483,2840,1297,31782,16053,3239,Medium
